,LOCALITA,DATA,TMEDIA 째C,TMIN 째C,TMAX 째C,PUNTORUGIADA 째C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
64,Pavia,06/3/1973,"8,3",2,16,"3,4",71.0,"3,1",2,"9,1",0,0.0,0.0,0,
65,Pavia,07/3/1973,"5,8",3,8,"1,9",76.0,"9,3","9,4","38,9",0,1016.0,0.0,"5,1",Pioggia Temporale 
66,Pavia,08/3/1973,"7,1",1,14,"0,9",65.0,"9,3","6,5","18,3",0,0.0,0.0,"0,3",
67,Pavia,09/3/1973,5,-1,16,"0,4",72.0,8,"9,8","27,8","46,1",0.0,0.0,0,Pioggia Neve 
68,Pavia,10/3/1973,"2,9",-2,9,"-4,9",56.0,"9,2","2,4","10,7",0,0.0,0.0,"0,3",
69,Pavia,11/3/1973,"3,6",-3,11,"-6,2",49.0,"9,8","3,5",13,0,0.0,0.0,0,
70,Pavia,12/3/1973,"3,4",-3,9,"-3,2",62.0,"8,7",3,"9,1",0,1017.0,0.0,0,
71,Pavia,13/3/1973,"5,1",2,8,"-1,8",61.0,"7,9","3,7","14,8",0,1012.0,0.0,0,
72,Pavia,14/3/1973,"6,4",4,10,"-0,8",60.0,"7,7","3,7","14,8",0,0.0,0.0,0,Pioggia 
73,Pavia,15/3/1973,"6,1",3,11,"-0,1",64.0,"7,7","2,8","10,7",0,0.0,0.0,0,
74,Pavia,16/3/1973,"5,5",3,10,"0,2",69.0,"7,4","2,6","10,7",0,0.0,0.0,0,
75,Pavia,17/3/1973,"5,5",1,11,"0,2",69.0,"5,5","0,7","5,4",0,0.0,0.0,0,
76,Pavia,18/3/1973,"6,4",-1,17,"0,2",64.0,"4,2",2,"7,2",0,0.0,0.0,0,
77,Pavia,19/3/1973,"8,1",-1,17,"0,3",58.0,"7,4","1,7","7,2",0,0.0,0.0,0,
78,Pavia,20/3/1973,"8,8",4,15,"1,9",62.0,"9,2","2,8","9,1",0,0.0,0.0,0,
79,Pavia,21/3/1973,"8,4","0,8",16,"1,9",64.0,5,"1,3","5,4",0,0.0,0.0,0,
80,Pavia,22/3/1973,"8,8",3,15,"2,8",66.0,"5,3","1,5","5,4",0,0.0,0.0,0,
81,Pavia,23/3/1973,"8,8",2,16,"3,2",68.0,"5,8","1,7","7,2",0,0.0,0.0,0,
82,Pavia,24/3/1973,"8,6",2,15,"3,6",71.0,"6,4","2,2","9,1",0,0.0,0.0,0,
83,Pavia,25/3/1973,"9,3",2,16,"4,9",74.0,"5,3","1,9","10,7",0,0.0,0.0,0,
84,Pavia,26/3/1973,"11,1",8,16,"7,8",80.0,"6,9","1,5","9,1",0,0.0,0.0,0,Pioggia 
85,Pavia,27/3/1973,"13,1",8,19,"9,3",78.0,"5,6","0,7","5,4",0,0.0,0.0,0,Pioggia 
86,Pavia,28/3/1973,"14,6",9,21,"9,3",70.0,"7,1",2,"9,1",0,0.0,0.0,"0,3",Pioggia 
87,Pavia,29/3/1973,"12,1",9,17,"7,9",75.0,"7,9","5,7","25,9",0,1015.0,0.0,1,Pioggia 
88,Pavia,30/3/1973,"11,9",8,17,"7,3",73.0,"6,8",2,"27,8",0,0.0,0.0,0,
89,Pavia,31/3/1973,"13,1",9,18,"8,1",72.0,"6,1","0,7","5,4",0,0.0,0.0,0,
90,Pavia,01/4/1973,"13,4",5,20,8,70.0,"7,2","1,3","7,2",0,0.0,0.0,0,
91,Pavia,02/4/1973,"12,7",5,19,"7,8",72.0,"7,7","7,4","18,3",0,0.0,0.0,0,
92,Pavia,03/4/1973,"11,3",7,15,"-2,3",39.0,"11,1","41,7",63,"94,3",0.0,0.0,0,
93,Pavia,04/4/1973,"10,3",4,17,"-3,5",38.0,"12,1","13,1","42,4",0,0.0,0.0,0,
94,Pavia,05/4/1973,"8,4","0,8",16,"0,9",59.0,10,"1,9","7,2",0,0.0,0.0,0,
95,Pavia,06/4/1973,"10,2",2,17,"3,2",62.0,6,"0,2","3,5",0,0.0,0.0,0,
96,Pavia,07/4/1973,"11,6",3,19,"7,2",74.0,"6,9","6,9","18,3",0,0.0,0.0,0,
97,Pavia,08/4/1973,"8,3",6,12,"6,2",87.0,"6,1","8,1","21,9","40,7",0.0,0.0,2,Pioggia 
98,Pavia,09/4/1973,"6,7",6,8,"5,6",93.0,"3,5","1,3","9,1",0,0.0,0.0,"25,9",Pioggia Temporale 
99,Pavia,10/4/1973,"7,6",5,10,"5,6",87.0,"7,4","7,4","25,9",0,0.0,0.0,"7,9",Pioggia Temporale 
100,Pavia,11/4/1973,"7,9","0,8",15,"3,2",72.0,"6,3","5,9","16,5",0,0.0,0.0,1,Nebbia 
101,Pavia,12/4/1973,"9,1",3,14,"5,3",77.0,"7,9",7,"18,3",0,0.0,0.0,"0,3",Pioggia Temporale 
102,Pavia,13/4/1973,"6,7",-2,13,"-1,4",56.0,"9,5",15,37,"51,9",0.0,0.0,0,Nebbia 
103,Pavia,14/4/1973,"8,7",-1,15,"-2,9",44.0,"10,5","8,7","33,2",0,0.0,0.0,0,
104,Pavia,15/4/1973,"8,4","0,8",16,"0,6",58.0,"10,3","2,4",13,0,0.0,0.0,0,
105,Pavia,16/4/1973,"9,9",1,17,"3,1",63.0,"9,2","1,9",13,0,0.0,0.0,0,
106,Pavia,17/4/1973,"11,7",4,18,"5,1",64.0,"8,4","4,4","14,8",0,0.0,0.0,0,
107,Pavia,18/4/1973,"13,1",8,20,"7,3",68.0,"9,5","13,7","24,1",0,0.0,0.0,0,
108,Pavia,19/4/1973,"8,9",3,17,"5,1",77.0,"8,4","6,9",50,"64,8",0.0,0.0,2,Pioggia Temporale 
109,Pavia,20/4/1973,7,1,14,3,76.0,"9,2","3,3","14,8",0,0.0,0.0,0,
110,Pavia,21/4/1973,"10,1",3,16,"-1,8",43.0,"12,4","8,1",13,0,0.0,0.0,0,
111,Pavia,22/4/1973,"8,1",2,15,"4,1",76.0,10,"4,4","21,9",0,0.0,0.0,"0,3",Pioggia 
112,Pavia,23/4/1973,"9,9",3,16,"6,1",77.0,"9,8","1,9","10,7",0,0.0,0.0,"0,3",Pioggia 
113,Pavia,24/4/1973,"12,2",7,17,"7,4",72.0,"9,2","3,3","7,2",0,1006.0,0.0,0,
114,Pavia,25/4/1973,"12,1",6,19,"8,4",78.0,"6,1","5,4","29,4","48,2",0.0,0.0,0,Pioggia Temporale 
115,Pavia,26/4/1973,"13,2",2,19,"9,4",78.0,"6,1","2,8","18,3",0,0.0,0.0,"3,1",Pioggia 
116,Pavia,27/4/1973,"14,4",10,19,"9,4",72.0,"7,4","3,9","9,1",0,0.0,0.0,1,Pioggia 
117,Pavia,28/4/1973,"11,2",9,13,"9,7",90.0,"3,5",2,"9,1",0,0.0,0.0,"7,1",Pioggia 
118,Pavia,29/4/1973,"10,6",8,14,"8,6",87.0,"5,5","1,9","7,2",0,0.0,0.0,15,Pioggia 
119,Pavia,30/4/1973,"12,8",5,20,"9,5",80.0,"5,1","0,9","5,4",0,0.0,0.0,0,Nebbia 
120,Pavia,01/5/1973,"15,3",8,22,"11,4",78.0,"5,1","1,1","7,2",0,0.0,0.0,0,Nebbia 
121,Pavia,02/5/1973,"16,5",14,20,"13,8",84.0,"3,1","0,7","7,2",0,0.0,0.0,0,Pioggia 
122,Pavia,03/5/1973,"16,1",14,19,"13,4",84.0,"3,9","0,7","9,1",0,0.0,0.0,"0,3",Pioggia 
123,Pavia,04/5/1973,"17,4",11,23,"14,1",81.0,"2,6","0,4","5,4",0,0.0,0.0,0,Pioggia Nebbia 
124,Pavia,05/5/1973,"18,2",16,21,"16,4",89.0,"1,8","0,7","7,2",0,0.0,0.0,"7,1",Pioggia Nebbia 
125,Pavia,06/5/1973,"17,4",14,20,"15,3",87.0,"3,7","2,2","24,1",0,0.0,0.0,"1,3",Pioggia Nebbia 
126,Pavia,07/5/1973,"16,2",10,22,"11,3",73.0,"9,8","6,7","21,9",0,0.0,0.0,0,Pioggia 
127,Pavia,08/5/1973,"14,7",9,21,"8,2",65.0,10,"13,1","24,1",0,0.0,0.0,"5,1",Pioggia 
128,Pavia,09/5/1973,"15,2",6,22,"5,1",51.0,"11,3","9,4","27,8",0,0.0,0.0,0,
129,Pavia,10/5/1973,"15,1",5,22,"4,9",50.0,"10,5","4,4","14,8",0,0.0,0.0,0,
130,Pavia,11/5/1973,"14,8",11,21,"8,6",66.0,"9,3","5,4","18,3",0,0.0,0.0,0,Pioggia 
131,Pavia,12/5/1973,"13,5",10,18,"9,4",76.0,"6,8","4,4",13,0,0.0,0.0,1,
132,Pavia,13/5/1973,"15,3",9,21,"8,3",63.0,"8,4","1,3","7,2",0,0.0,0.0,0,
133,Pavia,14/5/1973,"16,6",8,24,"9,5",63.0,"7,4","2,4","14,8",0,0.0,0.0,0,
134,Pavia,15/5/1973,"18,1",13,24,"11,9",67.0,"8,2","7,8","14,8",0,0.0,0.0,0,
135,Pavia,16/5/1973,"17,9",11,23,"12,1",69.0,"6,6","4,6","14,8",0,0.0,0.0,0,
136,Pavia,17/5/1973,"12,2",11,14,"8,2",77.0,"7,1","3,9",13,0,0.0,0.0,2,Pioggia 
137,Pavia,18/5/1973,"13,7",10,18,"9,8",77.0,6,"2,2","5,4",0,0.0,0.0,"7,1",Pioggia 
138,Pavia,19/5/1973,"13,8",13,15,"11,6",87.0,"3,4","2,6","14,8",0,0.0,0.0,"3,1",Pioggia 
139,Pavia,20/5/1973,"15,2",10,21,"10,7",74.0,"6,8","4,6","18,3",0,0.0,0.0,"0,3",Nebbia 
140,Pavia,21/5/1973,"15,5",11,19,"11,8",79.0,"7,1","1,5","7,2",0,0.0,0.0,"0,5",Pioggia 
141,Pavia,22/5/1973,18,11,24,"12,6",71.0,"7,4","2,6","9,1",0,0.0,0.0,0,
142,Pavia,23/5/1973,"20,3",14,26,"13,1",63.0,"9,8","7,6","14,8",0,0.0,0.0,0,
143,Pavia,24/5/1973,"20,7",13,28,"13,2",62.0,"8,4","3,7",13,0,0.0,0.0,0,
144,Pavia,25/5/1973,"21,2",14,28,"13,6",62.0,"8,9",3,"9,1",0,0.0,0.0,0,
145,Pavia,26/5/1973,"21,6",16,27,"13,1",58.0,"10,1","3,1","10,7",0,0.0,0.0,0,
146,Pavia,27/5/1973,"20,8",15,27,"12,3",58.0,"9,5","2,6","9,1",0,0.0,0.0,0,
147,Pavia,28/5/1973,"20,4",14,26,"12,9",62.0,"8,9","2,2","9,1",0,0.0,0.0,0,
148,Pavia,29/5/1973,"20,5",16,25,"13,4",64.0,"6,9","3,7","9,1",0,0.0,0.0,0,
149,Pavia,30/5/1973,"21,1",15,27,"14,2",65.0,"7,4","4,1","9,1",0,0.0,0.0,0,
150,Pavia,31/5/1973,"21,9",16,27,"14,5",63.0,"9,2","4,1",13,0,0.0,0.0,0,
151,Pavia,01/6/1973,"23,1",17,29,"15,1",61.0,"6,1",2,"23,7",0,0.0,0.0,0,
152,Pavia,02/6/1973,"20,7",17,25,"16,1",75.0,"6,1","4,3",13,0,0.0,0.0,0,Pioggia 
153,Pavia,03/6/1973,"21,4",16,27,"14,8",66.0,"10,5","3,9","10,7",0,0.0,0.0,"0,5",
154,Pavia,04/6/1973,"21,8",15,28,"15,1",66.0,"7,1","3,7","18,3",0,0.0,0.0,0,Pioggia Temporale 
155,Pavia,05/6/1973,"20,7",16,27,"15,8",74.0,"6,4","3,3",13,0,0.0,0.0,"7,1",Pioggia 
156,Pavia,06/6/1973,"18,7",17,23,"16,2",85.0,"4,7",2,"10,7",0,0.0,0.0,"26,9",Pioggia Temporale 
157,Pavia,07/6/1973,"18,4",15,24,"15,2",82.0,"7,2","6,7","33,2",0,0.0,0.0,13,Pioggia Temporale 
158,Pavia,08/6/1973,"15,8",13,18,"12,9",83.0,"7,6","4,3","18,3",0,0.0,0.0,"8,9",Pioggia Temporale 
159,Pavia,09/6/1973,"19,3",12,25,"13,7",70.0,"9,2","6,9","14,8",0,0.0,0.0,"7,1",Pioggia Temporale 
160,Pavia,10/6/1973,"21,3",11,28,"14,2",64.0,"9,3","3,3","10,7",0,0.0,0.0,0,
161,Pavia,11/6/1973,"22,7",15,29,"15,3",63.0,"8,5","1,5","5,4",0,0.0,0.0,0,
162,Pavia,12/6/1973,"23,7",16,29,"17,3",67.0,"5,5",2,"5,4",0,0.0,0.0,0,
163,Pavia,13/6/1973,"23,1",18,28,"16,7",67.0,"5,8","1,7","18,3",0,0.0,0.0,0,
164,Pavia,14/6/1973,"23,6",16,30,"16,2",63.0,"7,6","5,4",13,0,0.0,0.0,0,Pioggia Temporale 
165,Pavia,15/6/1973,"23,6",19,29,"16,9",66.0,"9,7","4,4","9,4",0,0.0,0.0,0,Temporale 
166,Pavia,16/6/1973,"22,6",17,27,"14,3",59.0,"8,4","2,8","7,6",0,0.0,0.0,0,
167,Pavia,17/6/1973,"22,3",17,28,"15,4",65.0,"7,1","2,6","11,1",0,0.0,0.0,0,
168,Pavia,18/6/1973,"24,2",17,31,"17,3",65.0,"5,6","5,7","16,5",0,0.0,0.0,0,
169,Pavia,19/6/1973,"22,5",17,27,"15,9",66.0,"8,5",3,"10,7",0,1014.0,0.0,0,
170,Pavia,20/6/1973,"20,8",17,25,"15,3",71.0,"6,9","7,2","18,3",0,0.0,0.0,0,Pioggia Temporale 
171,Pavia,21/6/1973,"19,2",15,25,"15,2",78.0,"6,1","5,6","20,2",0,0.0,0.0,"19,3",Pioggia Temporale 
172,Pavia,22/6/1973,15,14,16,"13,4",90.0,"4,8",3,"14,8",0,0.0,0.0,"17,3",Pioggia 
173,Pavia,23/6/1973,"17,3",13,22,"13,2",77.0,"6,9",3,"10,7",0,0.0,0.0,0,Pioggia Neve 
174,Pavia,24/6/1973,"20,7",13,27,"14,1",66.0,"7,6","6,3","14,8",0,0.0,0.0,0,
175,Pavia,25/6/1973,"22,7",15,29,"13,7",57.0,"10,8","2,6","9,1",0,1013.0,0.0,0,
176,Pavia,26/6/1973,"23,8",16,30,"16,3",63.0,10,"1,1","5,4",0,1020.0,0.0,0,
177,Pavia,27/6/1973,"24,9",18,31,17,62.0,"7,4","1,5","10,7",0,0.0,0.0,0,
178,Pavia,28/6/1973,"25,3",19,31,"17,9",64.0,"5,5","2,2","27,8","47,8",0.0,0.0,1,Pioggia 
179,Pavia,29/6/1973,"25,2",19,31,"16,9",60.0,"9,8","8,1","16,5",0,0.0,0.0,0,
180,Pavia,30/6/1973,"24,1",18,30,"15,7",59.0,"10,1",2,"9,4",0,0.0,0.0,0,
181,Pavia,01/7/1973,"24,9",18,31,"16,3",59.0,"10,1",2,"7,2",0,0.0,0.0,0,
182,Pavia,02/7/1973,"25,3",18,31,"16,7",59.0,"8,4","1,7","9,1",0,1020.0,0.0,0,
183,Pavia,03/7/1973,"25,8",19,31,"18,9",66.0,"5,8","1,9","7,2",0,0.0,0.0,0,
184,Pavia,04/7/1973,"27,1",20,33,"18,7",60.0,"6,1","3,3","10,7",0,0.0,0.0,0,Pioggia 
185,Pavia,05/7/1973,"26,3",20,32,"18,4",62.0,"6,4","2,6","36,7",0,1012.0,0.0,0,Pioggia Temporale 
186,Pavia,06/7/1973,"25,4",19,31,"17,1",60.0,8,"6,1","16,5",0,0.0,0.0,"0,5",Pioggia 
187,Pavia,07/7/1973,"24,4",19,30,"17,9",67.0,"5,6","4,8","25,9",0,0.0,0.0,0,Pioggia Temporale 
188,Pavia,08/7/1973,"24,4",19,29,"18,3",69.0,"6,4","3,3","31,3",0,0.0,0.0,"0,3",Pioggia Temporale 
189,Pavia,09/7/1973,"20,9",17,25,"16,3",75.0,"8,9","3,5","31,7",0,0.0,0.0,"8,4",Pioggia Neve Temporale 
190,Pavia,10/7/1973,"23,1",16,29,"17,3",70.0,"6,3",3,"16,5",0,0.0,0.0,0,Pioggia 
191,Pavia,11/7/1973,"23,9",19,29,"17,3",67.0,"7,6","2,2","9,1",0,0.0,0.0,0,Pioggia 
192,Pavia,12/7/1973,"24,1",19,30,"18,8",72.0,"5,1","2,4","10,7",0,0.0,0.0,0,Pioggia Temporale 
193,Pavia,13/7/1973,"23,2",18,28,"18,3",74.0,"7,7","3,1","7,2",0,0.0,0.0,16,Pioggia Temporale 
194,Pavia,14/7/1973,"20,4",18,24,"17,6",84.0,"6,1","14,1","25,9",0,0.0,0.0,49,Pioggia Temporale 
195,Pavia,15/7/1973,"21,1",18,24,"18,3",84.0,"6,1","5,4","36,7",0,0.0,0.0,14,Pioggia Temporale 
196,Pavia,16/7/1973,"22,3",18,27,"18,2",78.0,"8,2","2,8",13,0,0.0,0.0,"3,1",Pioggia 
197,Pavia,17/7/1973,"23,9",18,29,17,65.0,"10,8","8,5","33,2",0,0.0,0.0,0,
198,Pavia,18/7/1973,"23,6",17,29,"16,2",63.0,"10,6","6,9","16,5",0,0.0,0.0,0,
199,Pavia,19/7/1973,"23,4",18,28,"16,7",66.0,"10,9","3,1","10,7",0,1012.0,0.0,0,
200,Pavia,20/7/1973,"22,9",18,28,"17,1",70.0,"7,4","1,9","9,4",0,0.0,0.0,0,
201,Pavia,21/7/1973,"22,9",19,28,"18,1",74.0,"8,4","5,2","18,3",0,0.0,0.0,0,Pioggia Temporale 
202,Pavia,22/7/1973,"22,4",18,27,"17,9",76.0,8,"1,1","9,1",0,0.0,0.0,"25,4",Pioggia Temporale 
203,Pavia,23/7/1973,"21,5",14,27,"14,7",65.0,"11,1","3,5","7,2",0,0.0,0.0,0,Pioggia 
204,Pavia,24/7/1973,"21,6",17,27,"16,3",72.0,"8,5","6,5","14,8",0,0.0,0.0,0,
205,Pavia,25/7/1973,19,17,22,"14,8",77.0,"9,8","4,1","16,5",0,0.0,0.0,"0,5",Pioggia Temporale 
206,Pavia,26/7/1973,"20,9",16,26,"13,6",63.0,"7,4","3,1","14,8",0,0.0,0.0,0,
207,Pavia,27/7/1973,"21,8",12,28,"8,8",43.0,"11,1","12,2","36,7",0,0.0,0.0,0,
208,Pavia,28/7/1973,"20,2",13,26,"12,3",60.0,"10,5",3,"10,7",0,0.0,0.0,0,
209,Pavia,29/7/1973,"21,3",13,28,"13,7",62.0,"9,7",2,"5,4",0,1014.0,0.0,0,
210,Pavia,30/7/1973,"19,3",16,22,"15,1",77.0,"8,2","4,1",13,0,1017.0,0.0,"4,1",Pioggia 
211,Pavia,31/7/1973,"20,4",13,27,"14,6",69.0,"6,6","0,4","3,5",0,0.0,0.0,0,Nebbia 
212,Pavia,01/8/1973,"22,5",15,29,"15,5",65.0,"7,6","1,3","7,2",0,0.0,0.0,0,
213,Pavia,02/8/1973,"21,6",18,25,"16,7",74.0,"5,8","2,2","14,8",0,0.0,0.0,"0,3",Pioggia Neve Temporale 
214,Pavia,03/8/1973,"21,9",16,28,"17,4",76.0,"4,2","1,5","7,2",0,0.0,0.0,0,Pioggia Temporale 
215,Pavia,04/8/1973,"22,8",17,28,"17,6",73.0,"4,7","1,1","3,5",0,0.0,0.0,1,Pioggia 
216,Pavia,05/8/1973,"23,9",18,30,"17,6",68.0,"6,1","0,7","5,4",0,0.0,0.0,0,
217,Pavia,06/8/1973,"25,2",18,31,"18,4",66.0,"6,3","0,7","5,4",0,0.0,0.0,0,
